"filename", "language", "JavaScript", "PostCSS", "XML", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\lapmall\Desktop\IMS\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\lapmall\Desktop\IMS\package-lock.json", "JSON", 0, 0, 0, 20050, 0, 0, 0, 1, 20051
"c:\Users\lapmall\Desktop\IMS\package.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 1, 54
"c:\Users\lapmall\Desktop\IMS\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\lapmall\Desktop\IMS\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\lapmall\Desktop\IMS\src\App.css", "PostCSS", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\lapmall\Desktop\IMS\src\App.js", "JavaScript", 51, 0, 0, 0, 0, 0, 2, 8, 61
"c:\Users\lapmall\Desktop\IMS\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\lapmall\Desktop\IMS\src\AuthContext.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\lapmall\Desktop\IMS\src\ProtectedWrapper.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\Users\lapmall\Desktop\IMS\src\components\AddEmployeeDialog.js", "JavaScript", 127, 0, 0, 0, 0, 0, 5, 16, 148
"c:\Users\lapmall\Desktop\IMS\src\components\AddInventoryDialog.js", "JavaScript", 111, 0, 0, 0, 0, 0, 5, 15, 131
"c:\Users\lapmall\Desktop\IMS\src\components\AddItemDialog.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\lapmall\Desktop\IMS\src\components\AddOfficeDialog.js", "JavaScript", 166, 0, 0, 0, 0, 0, 3, 13, 182
"c:\Users\lapmall\Desktop\IMS\src\components\AddProduct.js", "JavaScript", 185, 0, 0, 0, 0, 0, 57, 7, 249
"c:\Users\lapmall\Desktop\IMS\src\components\AddPurchaseDetails.js", "JavaScript", 204, 0, 0, 0, 0, 0, 26, 7, 237
"c:\Users\lapmall\Desktop\IMS\src\components\AddSale.js", "JavaScript", 230, 0, 0, 0, 0, 0, 26, 8, 264
"c:\Users\lapmall\Desktop\IMS\src\components\AddStore.js", "JavaScript", 215, 0, 0, 0, 0, 0, 31, 10, 256
"c:\Users\lapmall\Desktop\IMS\src\components\Header.js", "JavaScript", 182, 0, 0, 0, 0, 0, 2, 7, 191
"c:\Users\lapmall\Desktop\IMS\src\components\ItemIssueDialog.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 20, 181
"c:\Users\lapmall\Desktop\IMS\src\components\Layout.js", "JavaScript", 185, 0, 0, 0, 0, 0, 0, 16, 201
"c:\Users\lapmall\Desktop\IMS\src\components\PurchaseItemDialog.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 19, 148
"c:\Users\lapmall\Desktop\IMS\src\components\SideMenu.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Users\lapmall\Desktop\IMS\src\components\TransferitemDialog.js", "JavaScript", 218, 0, 0, 0, 0, 0, 11, 24, 253
"c:\Users\lapmall\Desktop\IMS\src\components\UpdateProduct.js", "JavaScript", 181, 0, 0, 0, 0, 0, 21, 6, 208
"c:\Users\lapmall\Desktop\IMS\src\components\UploadImage.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\lapmall\Desktop\IMS\src\index.css", "PostCSS", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\lapmall\Desktop\IMS\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\lapmall\Desktop\IMS\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\lapmall\Desktop\IMS\src\pages\Dashboard.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 10, 131
"c:\Users\lapmall\Desktop\IMS\src\pages\Employees.js", "JavaScript", 117, 0, 0, 0, 0, 0, 3, 13, 133
"c:\Users\lapmall\Desktop\IMS\src\pages\Inventory.js", "JavaScript", 131, 0, 0, 0, 0, 0, 6, 16, 153
"c:\Users\lapmall\Desktop\IMS\src\pages\Issue.js", "JavaScript", 119, 0, 0, 0, 0, 0, 2, 10, 131
"c:\Users\lapmall\Desktop\IMS\src\pages\Login.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 11, 121
"c:\Users\lapmall\Desktop\IMS\src\pages\NoPageFound.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\lapmall\Desktop\IMS\src\pages\Offices.js", "JavaScript", 117, 0, 0, 0, 0, 0, 1, 17, 135
"c:\Users\lapmall\Desktop\IMS\src\pages\Purchase.js", "JavaScript", 195, 0, 0, 0, 0, 0, 2, 20, 217
"c:\Users\lapmall\Desktop\IMS\src\pages\PurchaseDetails.js", "JavaScript", 109, 0, 0, 0, 0, 0, 4, 12, 125
"c:\Users\lapmall\Desktop\IMS\src\pages\Register.js", "JavaScript", 182, 0, 0, 0, 0, 0, 6, 15, 203
"c:\Users\lapmall\Desktop\IMS\src\pages\Sales.js", "JavaScript", 122, 0, 0, 0, 0, 0, 5, 12, 139
"c:\Users\lapmall\Desktop\IMS\src\pages\Store.js", "JavaScript", 65, 0, 0, 0, 0, 0, 1, 8, 74
"c:\Users\lapmall\Desktop\IMS\src\pages\Transfer.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 15, 129
"c:\Users\lapmall\Desktop\IMS\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lapmall\Desktop\IMS\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\lapmall\Desktop\IMS\tailwind.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 1, 14
"Total", "-", 4119, 49, 1, 20128, 1, 20, 254, 394, 24966
